School,Year,Dating Violence,Domestic Violence,Fondling,Incest,Rape,Stalking,Statutory Rape,Religious,Enrollment,Potential Rape Total,Potential Fondling Total,Rape Per 10k,Fondling Per 10k,Stalking Per 10k,Dating Violence Per 10k,Domestic Violence Per 10k,Potential Rape Per 10k,Potential Fondling Per 10k
BU,2020,4,7,13,0,13,17,0,True,19297,65,33.0,6.73679846608281,6.73679846608281,8.80965953256983,2.0728610664870186,3.6275068663522827,33.68399233041406,17.101103798517904
BU,2021,5,8,10,0,20,23,0,True,20626,100,25.0,9.69649956365752,4.84824978182876,11.150974498206148,2.42412489091438,3.8785998254630076,48.4824978182876,12.1206244545719
BU,2022,0,13,8,0,22,40,0,True,20709,110,20.0,10.623400453908928,3.8630547105123374,19.31527355256169,0.0,6.277463904582549,53.117002269544635,9.657636776280844
BYU,2020,5,0,10,0,4,14,0,True,36324,20,25.0,1.1012003083360864,2.7530007708402158,3.854201079176302,1.3765003854201079,0.0,5.5060015416804315,6.882501927100539
BYU,2021,5,2,13,0,7,6,0,True,34737,35,33.0,2.015142355413536,3.742407231482281,1.7272648760687452,1.4393873967239543,0.5757549586895817,10.07571177706768,9.499956818378099
BYU,2022,17,1,17,0,6,16,0,True,34390,30,43.0,1.7446932247746436,4.943297470194824,4.652515266065717,4.943297470194824,0.2907822041291073,8.72346612387322,12.503634777551614
CU,2020,8,8,7,0,20,23,0,False,46798,100,18.0,4.273686909696996,1.4957904183939486,4.9147399461515455,1.7094747638787982,1.7094747638787982,21.368434548484977,3.8463182187272964
CU,2021,13,8,20,0,34,15,0,False,46710,170,50.0,7.278955255833868,4.281738385784629,3.211303789338471,2.7831299507600082,1.7126953543138514,36.39477627916934,10.70434596446157
CU,2022,13,12,19,0,52,16,0,False,47914,260,48.0,10.85277789372626,3.9654380765538257,3.3393162749926955,2.713194473431565,2.5044872062445216,54.26388946863129,10.017948824978086
ISU,2020,8,5,4,0,10,22,0,False,31825,50,10.0,3.1421838177533385,1.2568735271013354,6.912804399057345,2.5137470542026707,1.5710919088766693,15.710919088766694,3.1421838177533385
